branch_id,branch_name,city,region,branch_type,tier,month,year,month_num,quarter,headcount,total_transactions,new_accounts_opened,revenue_lakhs,expenses_lakhs,profit_lakhs,profit_margin_pct,loan_disbursed_lakhs,deposits_lakhs,npa_ratio_pct,digital_txn_pct,revenue_per_txn_inr,cost_efficiency,revenue_per_staff,customer_satisfaction
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-01,2021,1,Q1,17,2699,132,23.27,11.42,11.85,50.92,149.89,163.68,2.02,66.3,862.17,0.4908,1.3688,3.41
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-02,2021,2,Q1,17,2925,144,25.22,12.26,12.96,51.39,162.45,177.39,2.98,79.2,862.22,0.4861,1.4835,3.31
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-03,2021,3,Q1,17,3061,150,26.39,10.96,15.43,58.47,169.97,185.6,1.67,74.2,862.14,0.4153,1.5524,3.32
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-04,2021,4,Q2,17,2813,138,24.25,12.31,11.94,49.24,156.21,170.58,0.45,79.22,862.07,0.5076,1.4265,3.47
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-05,2021,5,Q2,17,3059,150,26.38,12.33,14.05,53.26,169.89,185.52,2.61,80.65,862.37,0.4674,1.5518,3.63
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-06,2021,6,Q2,17,3160,155,27.24,10.97,16.27,59.73,175.46,191.6,1.78,73.86,862.03,0.4027,1.6024,3.97
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-07,2021,7,Q3,17,2939,144,25.34,11.27,14.07,55.52,163.19,178.21,2.11,79.03,862.2,0.4448,1.4906,3.48
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-08,2021,8,Q3,17,3479,171,29.99,11.19,18.8,62.69,193.17,210.94,0.71,82.37,862.03,0.3731,1.7641,3.58
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-09,2021,9,Q3,17,3207,158,27.65,11.24,16.41,59.35,178.07,194.45,0.29,84.37,862.18,0.4065,1.6265,3.7
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-10,2021,10,Q4,17,3314,163,28.57,11.5,17.07,59.75,184.03,200.96,2.24,72.51,862.1,0.4025,1.6806,3.96
